RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1577969192520	 	3.0.2
USER	Fixed Duration Load Simulation 	48	START	1577969220331	1577969220331
REQUEST	48		get all video games	1577969220332	1577969220335	OK	 
REQUEST	40		get specific video game	1577969220351	1577969220353	OK	 
REQUEST	23		get specific video game	1577969220361	1577969220362	OK	 
REQUEST	31		get all video games	1577969220361	1577969220362	OK	 
REQUEST	31		get all video games	1577969220363	1577969220364	OK	 
REQUEST	15		get all video games	1577969220371	1577969220373	OK	 
REQUEST	15		get all video games	1577969220373	1577969220374	OK	 
USER	Fixed Duration Load Simulation 	49	START	1577969220831	1577969220831
REQUEST	49		get all video games	1577969220832	1577969220835	OK	 
REQUEST	24		get specific video game	1577969220861	1577969220863	OK	 
REQUEST	32		get all video games	1577969220861	1577969220863	OK	 
REQUEST	32		get all video games	1577969220863	1577969220864	OK	 
USER	Fixed Duration Load Simulation 	50	START	1577969221330	1577969221330
REQUEST	50		get all video games	1577969221331	1577969221333	OK	 
REQUEST	41		get specific video game	1577969221352	1577969221354	OK	 
REQUEST	33		get all video games	1577969221361	1577969221362	OK	 
REQUEST	25		get specific video game	1577969221361	1577969221362	OK	 
REQUEST	33		get all video games	1577969221363	1577969221364	OK	 
REQUEST	16		get all video games	1577969221371	1577969221372	OK	 
REQUEST	16		get all video games	1577969221373	1577969221374	OK	 
REQUEST	42		get specific video game	1577969221851	1577969221853	OK	 
REQUEST	34		get all video games	1577969221860	1577969221862	OK	 
REQUEST	34		get all video games	1577969221863	1577969221864	OK	 
REQUEST	17		get all video games	1577969221873	1577969221874	OK	 
REQUEST	17		get all video games	1577969221874	1577969221875	OK	 
USER	Fixed Duration Load Simulation 	51	START	1577969222332	1577969222332
REQUEST	51		get all video games	1577969222332	1577969222335	OK	 
REQUEST	43		get specific video game	1577969222352	1577969222354	OK	 
REQUEST	26		get specific video game	1577969222361	1577969222363	OK	 
REQUEST	35		get all video games	1577969222361	1577969222363	OK	 
REQUEST	35		get all video games	1577969222363	1577969222365	OK	 
REQUEST	18		get all video games	1577969222372	1577969222373	OK	 
REQUEST	18		get all video games	1577969222373	1577969222374	OK	 
USER	Fixed Duration Load Simulation 	52	START	1577969222831	1577969222831
REQUEST	52		get all video games	1577969222833	1577969222837	OK	 
REQUEST	44		get specific video game	1577969222851	1577969222853	OK	 
REQUEST	27		get specific video game	1577969222863	1577969222865	OK	 
REQUEST	19		get all video games	1577969222882	1577969222887	OK	 
REQUEST	19		get all video games	1577969222888	1577969222890	OK	 
USER	Fixed Duration Load Simulation 	53	START	1577969223332	1577969223332
REQUEST	53		get all video games	1577969223333	1577969223336	OK	 
REQUEST	45		get specific video game	1577969223351	1577969223353	OK	 
REQUEST	36		get all video games	1577969223362	1577969223363	OK	 
REQUEST	36		get all video games	1577969223363	1577969223364	OK	 
REQUEST	20		get all video games	1577969223373	1577969223375	OK	 
REQUEST	28		get specific video game	1577969223373	1577969223375	OK	 
REQUEST	20		get all video games	1577969223375	1577969223377	OK	 
REQUEST	3		get specific video game	1577969223431	1577969223434	OK	 
REQUEST	6		get specific video game	1577969223442	1577969223445	OK	 
REQUEST	7		get specific video game	1577969223442	1577969223445	OK	 
REQUEST	4		get specific video game	1577969223442	1577969223445	OK	 
REQUEST	8		get specific video game	1577969223451	1577969223452	OK	 
REQUEST	1		get specific video game	1577969223451	1577969223452	OK	 
REQUEST	9		get specific video game	1577969223451	1577969223454	OK	 
REQUEST	10		get specific video game	1577969223451	1577969223454	OK	 
REQUEST	2		get specific video game	1577969223451	1577969223454	OK	 
REQUEST	5		get specific video game	1577969223451	1577969223454	OK	 
REQUEST	11		get specific video game	1577969223451	1577969223454	OK	 
USER	Fixed Duration Load Simulation 	54	START	1577969223831	1577969223831
REQUEST	54		get all video games	1577969223832	1577969223835	OK	 
REQUEST	37		get all video games	1577969223861	1577969223863	OK	 
REQUEST	29		get specific video game	1577969223861	1577969223863	OK	 
REQUEST	37		get all video games	1577969223864	1577969223865	OK	 
REQUEST	12		get specific video game	1577969223872	1577969223873	OK	 
USER	Fixed Duration Load Simulation 	55	START	1577969224332	1577969224332
REQUEST	55		get all video games	1577969224332	1577969224338	OK	 
REQUEST	46		get specific video game	1577969224351	1577969224352	OK	 
REQUEST	30		get specific video game	1577969224361	1577969224364	OK	 
REQUEST	38		get all video games	1577969224361	1577969224364	OK	 
REQUEST	38		get all video games	1577969224364	1577969224366	OK	 
REQUEST	21		get all video games	1577969224372	1577969224373	OK	 
REQUEST	13		get specific video game	1577969224372	1577969224373	OK	 
REQUEST	21		get all video games	1577969224373	1577969224374	OK	 
REQUEST	47		get specific video game	1577969224852	1577969224855	OK	 
REQUEST	39		get all video games	1577969224862	1577969224864	OK	 
REQUEST	39		get all video games	1577969224864	1577969224865	OK	 
REQUEST	14		get specific video game	1577969224871	1577969224872	OK	 
REQUEST	22		get all video games	1577969224871	1577969224872	OK	 
REQUEST	22		get all video games	1577969224873	1577969224874	OK	 
USER	Fixed Duration Load Simulation 	56	START	1577969225332	1577969225332
REQUEST	56		get all video games	1577969225333	1577969225336	OK	 
REQUEST	48		get specific video game	1577969225350	1577969225352	OK	 
REQUEST	31		get specific video game	1577969225360	1577969225362	OK	 
REQUEST	40		get all video games	1577969225360	1577969225362	OK	 
REQUEST	40		get all video games	1577969225362	1577969225363	OK	 
REQUEST	23		get all video games	1577969225370	1577969225371	OK	 
REQUEST	23		get all video games	1577969225372	1577969225373	OK	 
REQUEST	15		get specific video game	1577969225381	1577969225382	OK	 
USER	Fixed Duration Load Simulation 	57	START	1577969225832	1577969225832
REQUEST	57		get all video games	1577969225833	1577969225836	OK	 
REQUEST	49		get specific video game	1577969225851	1577969225854	OK	 
REQUEST	32		get specific video game	1577969225862	1577969225864	OK	 
REQUEST	24		get all video games	1577969225872	1577969225873	OK	 
REQUEST	24		get all video games	1577969225873	1577969225874	OK	 
USER	Fixed Duration Load Simulation 	58	START	1577969226332	1577969226332
REQUEST	58		get all video games	1577969226333	1577969226336	OK	 
REQUEST	50		get specific video game	1577969226350	1577969226352	OK	 
REQUEST	33		get specific video game	1577969226362	1577969226364	OK	 
REQUEST	25		get all video games	1577969226362	1577969226364	OK	 
REQUEST	41		get all video games	1577969226362	1577969226365	OK	 
REQUEST	25		get all video games	1577969226365	1577969226366	OK	 
REQUEST	41		get all video games	1577969226365	1577969226366	OK	 
REQUEST	16		get specific video game	1577969226371	1577969226372	OK	 
USER	Fixed Duration Load Simulation 	59	START	1577969226831	1577969226831
REQUEST	59		get all video games	1577969226832	1577969226835	OK	 
REQUEST	42		get all video games	1577969226861	1577969226864	OK	 
REQUEST	34		get specific video game	1577969226861	1577969226864	OK	 
REQUEST	42		get all video games	1577969226864	1577969226865	OK	 
REQUEST	17		get specific video game	1577969226871	1577969226872	OK	 
USER	Fixed Duration Load Simulation 	60	START	1577969227332	1577969227332
REQUEST	60		get all video games	1577969227333	1577969227336	OK	 
REQUEST	51		get specific video game	1577969227353	1577969227355	OK	 
REQUEST	26		get all video games	1577969227363	1577969227364	OK	 
REQUEST	43		get all video games	1577969227363	1577969227364	OK	 
REQUEST	35		get specific video game	1577969227363	1577969227364	OK	 
REQUEST	26		get all video games	1577969227365	1577969227366	OK	 
REQUEST	43		get all video games	1577969227365	1577969227366	OK	 
REQUEST	18		get specific video game	1577969227372	1577969227374	OK	 
REQUEST	52		get specific video game	1577969227850	1577969227853	OK	 
REQUEST	44		get all video games	1577969227862	1577969227864	OK	 
REQUEST	44		get all video games	1577969227864	1577969227865	OK	 
REQUEST	27		get all video games	1577969227872	1577969227873	OK	 
REQUEST	27		get all video games	1577969227873	1577969227874	OK	 
REQUEST	19		get specific video game	1577969227881	1577969227883	OK	 
REQUEST	53		get specific video game	1577969228351	1577969228353	OK	 
REQUEST	45		get all video games	1577969228363	1577969228365	OK	 
REQUEST	36		get specific video game	1577969228363	1577969228365	OK	 
REQUEST	45		get all video games	1577969228366	1577969228367	OK	 
REQUEST	20		get specific video game	1577969228371	1577969228373	OK	 
REQUEST	28		get all video games	1577969228371	1577969228373	OK	 
REQUEST	28		get all video games	1577969228374	1577969228376	OK	 
REQUEST	7		get all video games	1577969228441	1577969228443	OK	 
REQUEST	3		get all video games	1577969228441	1577969228443	OK	 
REQUEST	7		get all video games	1577969228443	1577969228445	OK	 
REQUEST	3		get all video games	1577969228443	1577969228445	OK	 
REQUEST	8		get all video games	1577969228452	1577969228455	OK	 
REQUEST	2		get all video games	1577969228452	1577969228456	OK	 
REQUEST	10		get all video games	1577969228452	1577969228456	OK	 
REQUEST	6		get all video games	1577969228452	1577969228458	OK	 
REQUEST	4		get all video games	1577969228452	1577969228458	OK	 
REQUEST	9		get all video games	1577969228452	1577969228459	OK	 
REQUEST	8		get all video games	1577969228456	1577969228460	OK	 
REQUEST	1		get all video games	1577969228452	1577969228461	OK	 
REQUEST	4		get all video games	1577969228459	1577969228461	OK	 
REQUEST	11		get all video games	1577969228452	1577969228461	OK	 
REQUEST	5		get all video games	1577969228452	1577969228462	OK	 
REQUEST	2		get all video games	1577969228457	1577969228462	OK	 
REQUEST	1		get all video games	1577969228461	1577969228464	OK	 
REQUEST	10		get all video games	1577969228457	1577969228464	OK	 
REQUEST	11		get all video games	1577969228462	1577969228464	OK	 
REQUEST	5		get all video games	1577969228462	1577969228465	OK	 
REQUEST	6		get all video games	1577969228458	1577969228465	OK	 
REQUEST	9		get all video games	1577969228459	1577969228465	OK	 
REQUEST	54		get specific video game	1577969228852	1577969228855	OK	 
REQUEST	37		get specific video game	1577969228863	1577969228865	OK	 
REQUEST	12		get all video games	1577969228873	1577969228875	OK	 
REQUEST	29		get all video games	1577969228873	1577969228875	OK	 
REQUEST	12		get all video games	1577969228876	1577969228877	OK	 
REQUEST	29		get all video games	1577969228876	1577969228877	OK	 
REQUEST	55		get specific video game	1577969229350	1577969229352	OK	 
REQUEST	46		get all video games	1577969229363	1577969229365	OK	 
REQUEST	38		get specific video game	1577969229363	1577969229365	OK	 
REQUEST	46		get all video games	1577969229365	1577969229367	OK	 
REQUEST	13		get all video games	1577969229370	1577969229371	OK	 
REQUEST	21		get specific video game	1577969229370	1577969229371	OK	 
REQUEST	30		get all video games	1577969229370	1577969229372	OK	 
REQUEST	30		get all video games	1577969229372	1577969229373	OK	 
REQUEST	13		get all video games	1577969229372	1577969229373	OK	 
REQUEST	47		get all video games	1577969229862	1577969229864	OK	 
REQUEST	39		get specific video game	1577969229862	1577969229864	OK	 
REQUEST	47		get all video games	1577969229865	1577969229866	OK	 
REQUEST	22		get specific video game	1577969229872	1577969229874	OK	 
REQUEST	14		get all video games	1577969229883	1577969229885	OK	 
REQUEST	14		get all video games	1577969229885	1577969229887	OK	 
REQUEST	56		get specific video game	1577969230350	1577969230352	OK	 
REQUEST	48		get all video games	1577969230363	1577969230365	OK	 
REQUEST	40		get specific video game	1577969230363	1577969230365	OK	 
REQUEST	48		get all video games	1577969230365	1577969230367	OK	 
REQUEST	23		get specific video game	1577969230371	1577969230372	OK	 
REQUEST	31		get all video games	1577969230371	1577969230372	OK	 
REQUEST	31		get all video games	1577969230373	1577969230374	OK	 
REQUEST	15		get all video games	1577969230382	1577969230383	OK	 
REQUEST	15		get all video games	1577969230383	1577969230384	OK	 
REQUEST	57		get specific video game	1577969230850	1577969230852	OK	 
REQUEST	49		get all video games	1577969230862	1577969230864	OK	 
REQUEST	49		get all video games	1577969230864	1577969230866	OK	 
REQUEST	24		get specific video game	1577969230871	1577969230872	OK	 
REQUEST	32		get all video games	1577969230871	1577969230872	OK	 
REQUEST	32		get all video games	1577969230872	1577969230874	OK	 
REQUEST	58		get specific video game	1577969231353	1577969231355	OK	 
REQUEST	33		get all video games	1577969231361	1577969231363	OK	 
REQUEST	41		get specific video game	1577969231361	1577969231363	OK	 
REQUEST	50		get all video games	1577969231361	1577969231363	OK	 
REQUEST	33		get all video games	1577969231363	1577969231364	OK	 
REQUEST	50		get all video games	1577969231364	1577969231364	OK	 
REQUEST	16		get all video games	1577969231372	1577969231373	OK	 
REQUEST	25		get specific video game	1577969231372	1577969231373	OK	 
REQUEST	16		get all video games	1577969231373	1577969231374	OK	 
REQUEST	59		get specific video game	1577969231852	1577969231855	OK	 
REQUEST	42		get specific video game	1577969231863	1577969231865	OK	 
REQUEST	17		get all video games	1577969231872	1577969231874	OK	 
REQUEST	34		get all video games	1577969231872	1577969231874	OK	 
REQUEST	17		get all video games	1577969231874	1577969231876	OK	 
